File Name,Extracted Number
I.21.0013 Royal Hong Kong Yacht Club (Protective Cover for Prostor Umbrella).xls,No valid merged cell found or non-numeric value
I.21.0014 The Hong Kong Country Club (Replace Screw Knob for Buru Umbrella).xls,No valid merged cell found or non-numeric value
I.21.0015 Royal Hong Kong Yacht Club (Protective Cover for Sideboard).xls,No valid merged cell found or non-numeric value
I.21.0016  Leigh Chiu Designs Ltd (Protective Covers for Furniture).xls,No valid merged cell found or non-numeric value
I.21.0017 Leigh Chiu Designs Ltd (Retractable Awning).xls,No valid merged cell found or non-numeric value
I.21.0018 The Shek O Country Club (Sunny Beach Armchair - Stackable).xls,No valid merged cell found or non-numeric value
I.21.0019 Adapa Architects Limited (Alor Umbrella).xls,No valid merged cell found or non-numeric value
I.21.0020 Grand Hyatt Macau (Aluminum Umbrella).xls,No valid merged cell found or non-numeric value
I.21.0021 The Shek O Country Club (Repair Buru Umbrella - Gas Spring).xls,No valid merged cell found or non-numeric value
"I.21.0022 Ocean Park Corporation (Sqaure Granite Base, 55 kg).xls",No valid merged cell found or non-numeric value
I.21.0023 Leigh Chiu Designs Ltd (Repair Awning).xls,No valid merged cell found or non-numeric value
I.21.0024 Leigh Chiu Designs Ltd (Quick Dry Foam).xls,No valid merged cell found or non-numeric value
I.21.0025 Wan Fat Engineering and Mfg. Co. Ltd (Remote Control for LED of Alor Umbrella).xls,No valid merged cell found or non-numeric value
I.21.0026 Royal Hong Kong Yacht Club (Hardwood Umbrella).xls,No valid merged cell found or non-numeric value
I.21.0027 The Hong Kong Country Club (ICE27 Umbralla Cover).xls,No valid merged cell found or non-numeric value
I.21.0028 The Hong Kong Country Club (Bottom Cover & Gliding Wagon for Buru Umbrella).xls,No valid merged cell found or non-numeric value
I.21.0029 Ocean Park Corporation (ICE27 Aluminum Umbrella).xls,No valid merged cell found or non-numeric value
I.21.0030 Queen's Garden (AUS27 Hardwood Umbrella Frame).xls,No valid merged cell found or non-numeric value
I.21.0031 The Hong Kong Jockey Club - Shatin (Umbrella Cover).xls,No valid merged cell found or non-numeric value
I.21.0032 The Hong Kong Jockey Club - Shatin (Umbrella Cover).xls,No valid merged cell found or non-numeric value
I.21.0033 Mr. David Williams (Sofa Cushion).xls,No valid merged cell found or non-numeric value
I.21.0034 Ocean Park Corporation (ICE27 Aluminum Umbrella).xls,No valid merged cell found or non-numeric value
I.21.0035 Royal Hong Kong Yacht Club (Protective Cover for Sideboard).xls,No valid merged cell found or non-numeric value
I.21.0036 The Shek O Country Club (ICE27 Aluminum Umbrella).xls,No valid merged cell found or non-numeric value
I.21.0037 Finest Office Furniture Supplies (Somfy Motor & Wind Sensor for Awning).xls,No valid merged cell found or non-numeric value
I.21.0038 JW Marriott Hotel Macau (Umbrella Cover).xls,No valid merged cell found or non-numeric value
I.21.0039 Hong Kong Country Club (Buru Umbrella).xls,No valid merged cell found or non-numeric value
I.21.0040 Tai Heng Interior Design Co Ltd (Retractable Awning).xls,No valid merged cell found or non-numeric value
I.21.0041 Royal Hong Kong Yacht Club (Protective Cover for Table).xls,No valid merged cell found or non-numeric value
I.21.0042 Hong Kong Golf & Tennis Academy (Buru Umbrella).xls,No valid merged cell found or non-numeric value
I.22.0001 Grand Hyatt Hong Kong (Protective Cover for Sun Lounger).xls,No valid merged cell found or non-numeric value
I.22.0001a Grand Hyatt Hong Kong (Protective Cover for Sun Lounger).xls,No valid merged cell found or non-numeric value
I.22.0002 MGM Macau (Buru Umbrella).xls,No valid merged cell found or non-numeric value
I.22.0003 Royal Hong Kong Yacht Club (Hardwood Umbrella Pole).xls,No valid merged cell found or non-numeric value
I.22.0004 Adapa Architects Limited (Alor Umbrella Protective Cover).xls,No valid merged cell found or non-numeric value
I.22.0005 The Dynasty Club (ICE27 Aluminum Umbrella).xls,No valid merged cell found or non-numeric value
